uuid,weekday,date,latitude,longitude,altitude,speed,timestamp,time,location
Device_1,Friday,2017-07-21,89,89,89,89,89,89,89
Device_1,Monday,2017-07-17,18,18,18,18,18,18,18
Device_1,Saturday,2017-07-15,252,252,252,252,252,252,252
Device_1,Sunday,2017-07-16,130,130,130,130,130,130,130
Device_1,Thursday,2017-07-20,45,45,45,45,45,45,45
Device_1,Tuesday,2017-07-18,641,641,641,641,641,641,641
Device_1,Wednesday,2017-07-19,893,893,893,893,893,893,893
Device_2,Friday,2017-07-21,657,657,657,657,657,657,657
Device_2,Monday,2017-07-17,552,552,552,552,552,552,552
Device_2,Saturday,2017-07-15,694,694,694,694,694,694,694
Device_2,Sunday,2017-07-16,684,684,684,684,684,684,684
Device_2,Thursday,2017-07-20,185,185,185,185,185,185,185
Device_2,Tuesday,2017-07-18,1294,1294,1294,1294,1294,1294,1294
Device_2,Wednesday,2017-07-19,348,348,348,348,348,348,348
Device_3,Friday,2017-07-21,24,24,24,24,24,24,24
Device_3,Monday,2017-07-17,221,221,221,221,221,221,221
Device_3,Saturday,2017-07-15,93,93,93,93,93,93,93
Device_3,Sunday,2017-07-16,190,190,190,190,190,190,190
Device_3,Thursday,2017-07-20,94,94,94,94,94,94,94
Device_3,Tuesday,2017-07-18,82,82,82,82,82,82,82
Device_3,Wednesday,2017-07-19,88,88,88,88,88,88,88
Device_4,Friday,2017-07-21,299,299,299,299,299,299,299
Device_4,Monday,2017-07-17,578,578,578,578,578,578,578
Device_4,Saturday,2017-07-15,46,46,46,46,46,46,46
Device_4,Sunday,2017-07-16,57,57,57,57,57,57,57
Device_4,Thursday,2017-07-20,54,54,54,54,54,54,54
Device_4,Tuesday,2017-07-18,649,649,649,649,649,649,649
Device_4,Wednesday,2017-07-19,971,971,971,971,971,971,971
Device_5,Friday,2017-07-21,279,279,0,279,279,279,279
Device_5,Monday,2017-07-17,322,322,0,322,322,322,322
Device_5,Saturday,2017-07-15,275,275,0,275,275,275,275
Device_5,Sunday,2017-07-16,257,257,0,257,257,257,257
Device_5,Thursday,2017-07-20,496,496,0,496,496,496,496
Device_5,Tuesday,2017-07-18,201,201,0,201,201,201,201
Device_5,Wednesday,2017-07-19,153,153,0,153,153,153,153
